org_id,org_type,mix_bi_pct,mix_etl_pct,mix_ml_pct,tco_usd_month,schema_changes_per_month,breaking_changes_pct,schema_evolution_strategy,migration_downtime_hours_month,schema_complexity_score,changes_per_user_month,downtime_per_change_hours,migration_cost_usd_month,migration_cost_pct_tco,evolution_agility_score,evolution_pattern,workload_description,collection_date,source_type
sensitivity_bi_heavy_large_1,Sensitivity Analysis - Bi_Heavy,80,15,5,200000,27,26,modeled_bi_heavy_pattern,10.2,6.75,,,,,,,Sensitivity analysis for bi_heavy workload pattern,2025-08-20T20:06:10.457258,sensitivity_analysis
sensitivity_etl_heavy_small_2,Sensitivity Analysis - Etl_Heavy,25,65,10,25000,6,17,modeled_etl_heavy_pattern,2.1,5.8,,,,,,,Sensitivity analysis for etl_heavy workload pattern,2025-08-20T20:06:10.457261,sensitivity_analysis
sensitivity_etl_heavy_medium_2,Sensitivity Analysis - Etl_Heavy,25,65,10,75000,19,17,modeled_etl_heavy_pattern,6.7,5.8,,,,,,,Sensitivity analysis for etl_heavy workload pattern,2025-08-20T20:06:10.457263,sensitivity_analysis
sensitivity_etl_heavy_large_2,Sensitivity Analysis - Etl_Heavy,25,65,10,200000,46,17,modeled_etl_heavy_pattern,16.1,5.8,,,,,,,Sensitivity analysis for etl_heavy workload pattern,2025-08-20T20:06:10.457265,sensitivity_analysis
sensitivity_ml_heavy_small_3,Sensitivity Analysis - Ml_Heavy,20,25,55,25000,10,12,modeled_ml_heavy_pattern,3.4,7.050000000000001,,,,,,,Sensitivity analysis for ml_heavy workload pattern,2025-08-20T20:06:10.457270,sensitivity_analysis
sensitivity_ml_heavy_medium_3,Sensitivity Analysis - Ml_Heavy,20,25,55,75000,31,12,modeled_ml_heavy_pattern,10.4,7.050000000000001,,,,,,,Sensitivity analysis for ml_heavy workload pattern,2025-08-20T20:06:10.457273,sensitivity_analysis
sensitivity_ml_heavy_large_3,Sensitivity Analysis - Ml_Heavy,20,25,55,200000,75,12,modeled_ml_heavy_pattern,25.2,7.050000000000001,,,,,,,Sensitivity analysis for ml_heavy workload pattern,2025-08-20T20:06:10.457276,sensitivity_analysis
sensitivity_balanced_small_4,Sensitivity Analysis - Balanced,40,40,20,25000,6,19,modeled_balanced_pattern,2.1,6.3999999999999995,,,,,,,Sensitivity analysis for balanced workload pattern,2025-08-20T20:06:10.457278,sensitivity_analysis
sensitivity_balanced_medium_4,Sensitivity Analysis - Balanced,40,40,20,75000,20,19,modeled_balanced_pattern,7.1,6.3999999999999995,,,,,,,Sensitivity analysis for balanced workload pattern,2025-08-20T20:06:10.457282,sensitivity_analysis
sensitivity_balanced_large_4,Sensitivity Analysis - Balanced,40,40,20,200000,48,19,modeled_balanced_pattern,17.1,6.3999999999999995,,,,,,,Sensitivity analysis for balanced workload pattern,2025-08-20T20:06:10.457284,sensitivity_analysis
