provider,primary_region,replica_region,stack_type,gb_replicated,policy_objects,monthly_cost_usd,governance_complexity,compliance_tier,data_sovereignty
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Financial),10000,200,40194.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Financial),50000,200,200970.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Financial),250000,1000,1004850.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Financial),500,200,3528.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Financial),2500,200,17640.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Financial),10000,200,70560.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Financial),50000,200,352800.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Financial),250000,1000,1764000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Healthcare),500,240,1549.12,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Healthcare),2500,240,7745.62,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Healthcare),10000,240,30982.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Healthcare),50000,240,154912.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Healthcare),250000,1200,774562.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Healthcare),500,240,765.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Healthcare),2500,240,3825.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Healthcare),10000,240,15300.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Healthcare),50000,240,76500.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Healthcare),250000,1200,382500.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Healthcare),500,240,2440.35,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Healthcare),2500,240,12201.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Healthcare),10000,240,48807.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Healthcare),50000,240,244035.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Healthcare),250000,1200,1220175.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Healthcare),500,240,4284.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Healthcare),2500,240,21420.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Healthcare),10000,240,85680.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Healthcare),50000,240,428400.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Healthcare),250000,1200,2142000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Generic),500,40,303.75,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Generic),2500,40,1518.75,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Generic),10000,40,6075.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Generic),50000,40,30375.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Sync Replication + Encryption (Generic),250000,200,151875.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Generic),500,40,150.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Generic),2500,40,750.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Generic),10000,40,3000.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Generic),50000,40,15000.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Async Replication + Policy Engine (Generic),250000,200,75000.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Generic),500,40,478.5,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Generic),2500,40,2392.5,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Generic),10000,40,9570.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Generic),50000,40,47850.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Event Sourcing + Audit Trail (Generic),250000,200,239250.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Generic),500,40,840.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Generic),2500,40,4200.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Generic),10000,40,16800.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Generic),50000,40,84000.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,eu-west-1,ap-southeast-1,Zero-Trust Multi-Region (Generic),250000,200,420000.0,High,Standard,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Sync Replication + Encryption (PII),500,160,779.62,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Sync Replication + Encryption (PII),2500,160,3898.13,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Sync Replication + Encryption (PII),10000,160,15592.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Sync Replication + Encryption (PII),50000,160,77962.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Sync Replication + Encryption (PII),250000,800,389812.5,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Async Replication + Policy Engine (PII),500,160,385.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Async Replication + Policy Engine (PII),2500,160,1925.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Async Replication + Policy Engine (PII),10000,160,7700.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Async Replication + Policy Engine (PII),50000,160,38500.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Async Replication + Policy Engine (PII),250000,800,192500.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Event Sourcing + Audit Trail (PII),500,160,1228.15,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Event Sourcing + Audit Trail (PII),2500,160,6140.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Event Sourcing + Audit Trail (PII),10000,160,24563.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Event Sourcing + Audit Trail (PII),50000,160,122815.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Event Sourcing + Audit Trail (PII),250000,800,614075.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Zero-Trust Multi-Region (PII),500,160,2156.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Zero-Trust Multi-Region (PII),2500,160,10780.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Zero-Trust Multi-Region (PII),10000,160,43120.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Zero-Trust Multi-Region (PII),50000,160,215600.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Zero-Trust Multi-Region (PII),250000,800,1078000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Sync Replication + Encryption (Financial),500,200,935.55,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Sync Replication + Encryption (Financial),2500,200,4677.75,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Sync Replication + Encryption (Financial),10000,200,18711.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Sync Replication + Encryption (Financial),50000,200,93555.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Sync Replication + Encryption (Financial),250000,1000,467775.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Async Replication + Policy Engine (Financial),500,200,462.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Async Replication + Policy Engine (Financial),2500,200,2310.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Async Replication + Policy Engine (Financial),10000,200,9240.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Async Replication + Policy Engine (Financial),50000,200,46200.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Async Replication + Policy Engine (Financial),250000,1000,231000.0,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Event Sourcing + Audit Trail (Financial),500,200,1473.78,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Event Sourcing + Audit Trail (Financial),2500,200,7368.9,Very High,Strict,Cross-Border
Multi-Cloud Cross-Border,us-west-2,ap-northeast-1,Event Sourcing + Audit Trail (Financial),10000,200,29475.6,Very High,Strict,Cross-Border
