vendor,platform,sku_id,sku_name,apis_supported,gateway_default,first_listed_date,links,date_source,date_confidence,native_apis,compatible_apis,gateway_apis,plugin_apis,api_notes,total_api_count,is_multi_api,supports_sql,supports_kv,supports_doc,supports_graph,supports_search,vendor_category
Microsoft,Azure,cosmosdb,Azure Cosmos DB,sql|kv|doc|graph,True,2017-05-10,https://azure.microsoft.com/en-us/products/cosmos-db,Azure Cosmos DB announcement at Build 2017,high,sql|kv|doc|graph,,sql|kv|doc|graph,,Multi-model database with unified gateway supporting multiple APIs,4,True,True,True,True,True,False,cloud_hyperscaler
Microsoft,Azure,postgresql,Azure Database for PostgreSQL,sql,False,2017-03-07,https://azure.microsoft.com/en-us/products/postgresql,Azure Database for PostgreSQL preview,medium,sql,,,,,1,False,True,False,False,False,False,cloud_hyperscaler
Microsoft,Azure,redis,Azure Cache for Redis,kv|search,False,2014-08-26,https://azure.microsoft.com/en-us/products/cache,Azure Redis Cache announcement,medium,kv|search,,,,,2,True,False,True,False,False,True,cloud_hyperscaler
Microsoft,Azure,cognitive-search,Azure Cognitive Search,search|kv,False,2014-08-05,https://azure.microsoft.com/en-us/products/search,Azure Search preview (renamed to Cognitive Search),medium,search|kv,,,,,2,True,False,True,False,False,True,cloud_hyperscaler
MongoDB,Atlas,atlas,MongoDB Atlas,doc|search|sql,False,2016-06-28,https://www.mongodb.com/atlas,MongoDB Atlas beta announcement,high,doc,sql|search,,,Document database with Atlas Search and MQL/aggregation SQL-like queries,3,True,True,False,True,False,True,specialist_vendor
DataStax,Astra,astra-db,DataStax Astra DB,kv|doc|search|graph,True,2020-09-24,https://www.datastax.com/products/datastax-astra,DataStax Astra announcement,high,kv,doc|search|graph,kv|doc|search|graph,,Cassandra-based with unified APIs for multiple data models,4,True,False,True,True,True,True,specialist_vendor
Redis,Redis Enterprise Cloud,redis-enterprise,Redis Enterprise Cloud,kv|search|graph|doc,True,2018-10-17,https://redis.com/redis-enterprise-cloud/,Redis Enterprise Cloud public availability,medium,kv,search|graph|doc,,search|graph|doc,"Redis with RediSearch, RedisGraph, and RedisJSON modules",4,True,False,True,True,True,True,specialist_vendor
Neo4j,Aura,aura-db,Neo4j AuraDB,graph|sql,False,2020-11-18,https://neo4j.com/cloud/aura/,Neo4j Aura general availability,high,graph|sql,,,,,2,True,True,False,False,True,False,specialist_vendor
Elastic,Elastic Cloud,elasticsearch,Elasticsearch Service,search|sql|kv,False,2015-06-01,https://www.elastic.co/cloud/,Elastic Cloud service launch,medium,search|sql|kv,,,,,3,True,True,True,False,False,True,specialist_vendor
Fauna,Fauna,faunadb,FaunaDB,doc|sql|graph,True,2017-06-15,https://fauna.com/,FaunaDB public availability,medium,doc|sql|graph,,,,,3,True,True,False,True,True,False,emerging_vendor
PlanetScale,PlanetScale,planetscale,PlanetScale,sql,False,2020-09-30,https://planetscale.com/,PlanetScale private beta,medium,sql,,,,,1,False,True,False,False,False,False,emerging_vendor
SingleStore,SingleStore Cloud,singlestore,SingleStore,sql|kv|search,False,2019-12-04,https://www.singlestore.com/,SingleStore Cloud announcement,medium,sql|kv|search,,,,,3,True,True,True,False,False,True,emerging_vendor
SurrealDB,SurrealDB Cloud,surrealdb,SurrealDB,sql|kv|doc|graph,True,2022-09-29,https://surrealdb.com/,SurrealDB public release,high,sql|kv|doc|graph,,sql|kv|doc|graph,,Multi-paradigm database designed as unified platform,4,True,True,True,True,True,False,emerging_vendor
