standard,vendor,feature_subset,status,date,link
SQL:2023,CockroachDB,JSON support,GA,2023-01-01,https://www.cockroachlabs.com/docs/stable/jsonb.html
ISO GQL,ArangoDB,Graph queries,Roadmap,2025-09-01,https://www.arangodb.com/roadmap/
ISO GQL,MemGraph,Cypher to GQL,Roadmap,2025-12-01,https://memgraph.com/blog/gql-graph-query-language
JSONPath,Elasticsearch,JSON path queries,GA,2020-01-01,https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-bool-query.html
JSONPath,Redis,JSON path operations,GA,2021-01-01,https://redis.io/docs/stack/json/path/
JSONPath,CouchDB,Mango queries,GA,2020-01-01,https://docs.couchdb.org/en/stable/api/database/find.html
SQL:2023,Apache Spark,JSON SQL functions,GA,2024-01-01,https://spark.apache.org/docs/latest/sql-ref-functions-json.html
SQL:2023,Trino,JSON path functions,GA,2023-01-01,https://trino.io/docs/current/functions/json.html
SQL:2023,Apache Drill,JSON support,GA,2023-01-01,https://drill.apache.org/docs/json-data-model/
GraphQL,PostGraphile,PostgreSQL GraphQL,GA,2020-01-01,https://www.graphile.org/postgraphile/
GraphQL,Contentful,Content GraphQL,GA,2019-01-01,https://www.contentful.com/developers/docs/references/graphql/
ISO GQL,Apache AGE,PostgreSQL graphs,Preview,2024-06-01,https://age.apache.org/
ISO GQL,JanusGraph,Graph traversal,Roadmap,2025-06-01,https://janusgraph.org/
SQL:2023,SingleStore,JSON functions,GA,2023-01-01,https://docs.singlestore.com/managed-service/en/reference/sql-reference/json-functions.html
SQL:2023,TimescaleDB,JSON support,GA,2023-01-01,https://docs.timescale.com/timescaledb/latest/how-to-guides/schema-management/json/
JSONPath,Apache Cassandra,JSON queries,Preview,2024-01-01,https://cassandra.apache.org/doc/latest/cassandra/cql/json.html
OpenAPI 3.x,Grafana,Data source API,GA,2022-01-01,https://grafana.com/docs/grafana/latest/developers/http_api/
