adoption_level,adoption_percent,adoption_rate_percent,adoption_year,aware_but_not_using_percent,aware_percent,bloom_filters_supported,company,company_size,cost_claims,cost_savings_percent,data_scale_tb,data_type,dataset_id,default_compression,effectiveness_score,enabled,gzip_percent,implementation_status,lz4_percent,main_barrier,optimal_file_size_mb,optimal_row_group_size_mb,pain_point,parallel_reader_count,parquet_feature,partition_columns,pattern_name,performance_claims,performance_impact,performance_improvement,planning_percent,primary_driver,primary_use_case,project,provider,pruning_effectiveness_percent,read_support,recommended_compression,recommended_encoding,satisfaction_score,secondary_driver,service,snappy_percent,sort_columns,source,stats_enabled_by_default,survey_size,survey_source,typical_compression_ratio,unaware_percent,uncompressed_percent,use_case,using_actively_percent,using_percent,version,write_support,zstd_percent
,,65,,,,,,,,,,,oss_adoption,,,1,,production_ready,,,,,,,Bloom Filters,,,,high,,,,,Apache Spark,,,1,,,,,,,,,,,,,,,,,,3.5,1,
,,85,,,,,,,,,,,oss_adoption,,,1,,reference_implementation,,,,,,,All Encodings,,,,very_high,,,,,Apache Arrow,,,1,,,,,,,,,,,,,,,,,,13.0,1,
,,90,,,,,,,,,,,oss_adoption,,,1,,optimized,,,,,,,Column Statistics,,,,very_high,,,,,DuckDB,,,1,,,,,,,,,,,,,,,,,,0.9,1,
,,95,,,,,,,,,,,oss_adoption,,,1,,highly_optimized,,,,,,,Lazy Evaluation + Statistics,,,,extreme,,,,,Polars,,,1,,,,,,,,,,,,,,,,,,0.20,1,
,,80,,,,,,,,,,,oss_adoption,,,1,,table_format_optimized,,,,,,,Enhanced Metadata + Stats,,,,very_high,,,,,Apache Iceberg,,,1,,,,,,,,,,,,,,,,,,1.4,1,
,78,,,,,,,,,,,,industry_survey_2024,,,1,,,,,,,schema_evolution,,General Parquet Adoption,,,,,,,query_performance,,,,,,,,4.2,storage_costs,,,,,,5000,State of Data Engineering 2024,,,,,,,,,
,,,,,,,,,,,,,industry_survey_2024,,,1,20,,8,,,,,,Compression Usage,,,,,,,,,,,,,,,,,,65,,,,5000,State of Data Engineering 2024,,,2,,,,,,15
,,,,,45,,,,,,,,industry_survey_2024,,,0,,,,tooling_support,,,,,Bloom Filters Awareness,,,,,,28,,,,,,,,,,,,,,,,1200,Apache Parquet User Survey 2024,,,,,,12,,,
,,,,12,,,,,,,,,industry_survey_2024,,,1,,,,,,,,,Statistics Usage,,,,,,,,,,,,,,,4.5,,,,,,,1200,Apache Parquet User Survey 2024,,3,,,85,,,,
,85,,,,,,,,,,,string_categorical,performance_patterns,,9,,,,,,,,,,,,Compression Strategy by Data Type,,,,,,,,,,,snappy,dictionary,,,,,,,,,,8.5,,,,,,,,
,40,,,,,,,,,,,numeric_sequential,performance_patterns,,8,,,,,,,,,,,,Compression Strategy by Data Type,,,,,,,,,,,zstd,delta,,,,,,,,,,12.3,,,,,,,,
,70,,,,,,,,,,,boolean_flags,performance_patterns,,9,,,,,,,,,,,,Compression Strategy by Data Type,,,,,,,,,,,lz4,rle,,,,,,,,,,15.7,,,,,,,,
,60,,,,,,,,,,,,performance_patterns,,8,,,,,,1024,256,,16,,,File Size Optimization,,,,,,,,,,,,,,,,,,,,,,,,,analytical_queries,,,,,
,80,,,,,,,,,,,,performance_patterns,,9,,,,,,,,,,,date,Statistics Optimization,,,,,,,,,95,,,,,,,,timestamp,,,,,,,,time_series_data,,,,,
